id,type,subtype,external_contract,invalid,new,advertiser,description,transactions,transaction_type,value,reduced,periodicity_id,ubication,zipcode,highlight,date,energy_letter,energy_value,environment_letter,environment_value,multimedia_type_2,multimedia_type_6,multimedia_type_21,multimedia_type_12,multimedia_type_5,rooms,bathrooms,surface,energyCertificate,orientation,hotWater,heating,conservationState,antiquity,floor,surfaceLand,floor,elevator,conservationState,antiquity,hotWater,orientation,furnished,parking,heating,Calefacción,Armarios,Balcón,Aire acondicionado,Terraza,Parquet,Electrodomésticos,Horno,Lavadora,Microondas,Nevera,Internet,Lavadero,Cocina Equipada,Gres Cerámica,Patio,Ascensor interior,Jardín Privado,Piscina,Cocina Office,Puerta Blindada,Suite - con baño,Serv. portería,Alarma,Sistema Video vigilancia CCTV 24h,Trastero,Z. Comunitaria,Jacuzzi,Videoportero,Piscina comunitaria,Domótica,Pista de Tenis,Zona Deportiva,Zona Infantil,TV,Gimnasio,Sauna,Baño de huéspedes,Energía Solar,Porche cubierto,Cuarto lavado plancha,Bodega,Muebles de diseño,Música ambiental,country,level1,level2,level3,level4,level5,level6,level7,level8,upperLevel,countryId,level1Id,level2Id,level3Id,level4Id,level5Id,level6Id,level7Id,level8Id,accuracy,latitude,longitude
181579262,2,1,False,False,False,MARTINEZ PAYAR,"Contacto por llamadas o WhatsApp a Patricia +34 6 6 2 6 9 8 3 2 8

MENORCA / SANT MARTÍ. Estupenda vivienda de 4 dormitorios, dos dobles, una mediana y una sencilla (actualmente son 3 dormitorios y un vestidor), amplio salón comedor con salida a una bonita terraza, cocina equipada, un baño completo con bañera, suelo de parquet, ventanas de aluminio, puertas lacadas, calefacción y dos aparatos de aire acondicionado con bomba de calor, toldo eléctrico, la finca dispone de ascensor. Alto, muy buenas vistas, todo exterior, todo reformado, luminoso, con sol de mañana y tarde.

Orientado mar y montaña, muy bien comunicado, fácil acceso a rondas, junto a la estación de metro L2 Bac de Roda y Sant Marti, línea de autobuses: 33, H10, N8, B24, V29, V31, servicio de bicing, parques, gimnasios, institutos, supermercados, ambulatorios, farmacia 24 horas, jefatura de la policía, comercios del barrio y cerca de la futura estación del Ave La Sagrera. A 10 minutos de los centros comerciales Diagonal Mar y Glorias. 

Los precios no incluyen gastos de notaría, registro e impuestos que correspondan.

ITE: pasada
IBI: 426.32€ anual
Comunidad: 60€ mensual.",1,1,350000,10000,0,De Menorca,08020,False,2024-01-12T19:41:22.917,5,999.0,5,999.0,41,,,,,4,1,86,5,0,0,0,0,0,13,0,8ª planta,1.0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Martí,Sant Martí de Provençals,Sant Martí de Provençals,724,9,8,232,376,8019,0,1145,298,0,41.419422,2.1965668
181254886,2,1,False,False,False,"Scbm Barcelona Property Solutions, S.L.","Maravilloso piso recién reformado con acabados de alta calidad y detalles exclusivos, en una ubicación privilegiada en el corazón de Barcelona. 
Este elegante piso de 116 m2 en la primera planta de un edificio histórico cuenta con tres habitaciones, dos baños completos, una cocina independiente y un amplio salón-comedor luminoso con balcones exteriores. 
Cuenta com techos altos con vigas y volta catalana y ventanales replicados. Además, el edificio tiene ascensor.",1,1,695000,0,0,Carrer de la Palla,08002,False,2023-12-01T13:55:07.35,4,20.0,5,123.0,12,,,,,3,2,116,4,0,0,0,8,9,4,0,Entresuelo,1.0,Reformado,+ 100 años,,,,,,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,Barri Gòtic,Barri Gòtic,724,9,8,232,376,8019,0,1152,350,0,41.382618,2.174
181795803,2,1,False,False,False,FINCAS A.G. NUÑEZ,"Luminosa y acogedora vivienda situada en la calle Mallorca (una de las principales arterias de Barcelona) junto a la próxima estación del parque del AVE de la Sagrera, que será una de las mayores zonas verdes de la Ciudad Condal.
El inmueble consta de amplio salón comedor ; tres dormitorios ; cocina independiente con salida a la galeria; un aseo; un baño completo.

La zona cuenta con las estaciones de metro de la línea 1 roja, y la línea 5 azul a 5 minutos andando, así como varias líneas de autobuses que atraviesan Barcelona.
La zona cuenta con todos los servicios, supermercados, escuelas, gasolineras, gimnasios, y cualquier otro equipamiento que pueda necesitar para cumplir sus sueños de vivir en una zona tranquila y muy bien equipada.",1,1,260000,0,0,Carrer de Mallorca,08026,False,2024-02-02T14:56:17.803,5,161.0,5,33.0,22,1.0,,,,3,2,76,5,0,0,0,3,6,9,0,4ª planta,1.0,Bien,30 a 50 años,,,,,,,,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Martí,El Clot,El Clot,724,9,8,232,376,8019,0,1145,304,0,41.41266,2.1880765
181768044,2,1,False,False,False,THE WHITE SIDE,"Os presentamos una oportunidad inmobiliaria en el corazón del Eixample barcelonés. Este encantador piso de 115 m2, con una exclusiva terraza de 8 m2, se encuentra en la distinguida Calle Casp, a solo unos pasos del prestigioso Paseo de Gracia. Ubicado en una finca clásica con ascensor y en buen estado, este inmueble ofrece una oportunidad única para crear el hogar de sus sueños.

Actualmente, el piso cuenta con una distribución de 5 dormitorios, 1 baño completo, una cocina independiente y un amplio salón con chimenea. La terraza, orientada hacia un tranquilo patio de manzana, presenta la posibilidad de ser totalmente abierta, brindando un espacio exterior adicional. Suelos de parquet, calefacción a gas mediante radiadores y aire acondicionado con bomba de calor aseguran confort durante todo el año.

Aunque la vivienda requiere de actualización, su céntrica ubicación la convierte en una oportunidad excepcional. La Calle Casp se distingue por su proximidad a lugares emblemáticos, como el Paseo de Gracia, conocido por sus boutiques de alta moda y arquitectura modernista, así como la Plaza de Catalunya, epicentro de la ciudad.

El barrio circundante ofrece una amplia variedad de teatros, cines y restaurantes selectos. La ubicación estratégica del piso garantiza una excelente conectividad y acceso a servicios esenciales, proporcionando una vida cómoda y llena de oportunidades de entretenimiento.

Esta es una ocasión única para adquirir una vivienda especial y con un encanto extraordinario en una de las zonas más exclusivas de Barcelona. Además, la propiedad ofrece la posibilidad de personalizarla según sus gustos y necesidades, creando un hogar excepcional para su familia.

Contáctenos ahora para obtener más información o para concertar una visita. Estaremos encantados de asesorarle y ayudarle a descubrir esta maravillosa propiedad, que brinda la mejor ubicación, comodidad y un estilo de vida único en el centro del Eixample barcelonés. No deje pasar esta oportunidad de transformar este espacio en su hogar ideal, cerca de los lugares más destacados de la ciudad.

Con The White Side obtendrás el mejor asesoramiento y los mejores consejos para la compra o alquiler de tu futuro hogar.

El precio ofertado no incluye impuestos ni tasas y el inmueble no incluye mobiliario. [IW]",1,1,650000,0,0,Carrer de Casp,08010,False,2024-01-31T15:41:03.837,5,133.0,5,26.0,29,,,,,5,1,115,5,0,1,0,0,9,10,0,5ª planta,1.0,,+ 100 años,Gas Natural,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,Dreta de l'Eixample,Dreta de l'Eixample,724,9,8,232,376,8019,0,1151,282,0,41.389168,2.170274
181751141,2,1,False,False,False,Andor Home Punt Sant Antoni,,1,1,237000,0,0,Carrer de Berenguer Mallol,08003,False,2024-01-30T11:55:05.823,5,183.0,5,35.0,26,1.0,,,,2,1,39,5,7,0,0,8,8,6,0,1ª planta,1.0,Reformado,70 a 100 años,,Este,,,,,,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Ciutat Vella,La Barceloneta,La Barceloneta,724,9,8,232,376,8019,0,1152,348,0,41.38014,2.1918995
181688193,2,1,False,False,False,"ORUS PALAU, ANUNCIACION","CUARTO REAL SIN ASCENSOR.

Piso muy luminoso, perfectamente ubicado al lado de la Rambla Brasil y cerca de la carretera de Sants. A pocos minutos de la Línea 1 y Línea 5 de Metro, de diversos autobuses y próximo a la estación de Sants.

Dispone de una habitación y una galería muy luminosa, un baño completo, una cocina office y un bonito comedor. 

Es una gran oportunidad!",1,1,180000,0,0,Carrer del Tenor Masini,08028,False,2024-01-23T20:36:12.51,5,126.0,5,24.0,22,,,,,1,1,45,5,0,2,0,2,8,8,0,3ª planta,,Muy bien,70 a 100 años,Electricidad,,1.0,,,,2,,1,,9,21,22,23,24,25,52,109,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sants - Montjuïc,Sants,Sants,724,9,8,232,376,8019,0,1144,291,0,41.377434,2.1317422
178167989,2,1,False,False,False,"Patrini Asesores, Sl","RESERVADO - Vivienda en venta en Sant Andreu-Bon Pastor. Dispone de un amplio salón-comedor, exterior a calle y con luz natural. También cuenta con 3 dormitorios (2 de ellos de amplias dimensiones, de 15 y 11 m2 cada uno de ellos) y 1 individual, todos ellos son exteriores y luminosos. A través de la cocina, que se encuentra en perfecto estado de conservación, se accede a un gran patio de 15 m2 de uso exclusivo de la vivienda, y además tiene terrado comunitario. 
El inmueble se encuentra en perfecto estado de conservación, por lo que puede entrar a vivir o bien lo puede reformar para adecuarlo a su gusto. También hay la posibilidad de dejarlo amueblado.

Excelente ubicación, ya que se encuentra ubicado junto a la parada de Metro de las líneas 9 y 10 de Bon Pastor.

-Pregunten por opciones de financiación a su medida.

- En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del Código Civil de Catalunya, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa de viviendas en Catalunya se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP o IVA + AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio. 

-El mobiliario y enseres que figuran en las fotografías no están incluidos en el precio.´

Contacte con nosotros en el 6cuatro1 31 setenta y cuatro 02.

Excelente oportunidad por precio en la zona. ¡Visítelo!",1,1,140000,0,0,,08030,False,2023-06-13T18:10:57.91,6,226.0,5,47.0,15,,,,,3,1,65,6,8,0,0,2,7,6,0,1ª planta,1.0,Muy bien,50 a 70 años,,Oeste,,,,,,,,,,,,,,,,,,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Sant Andreu,El Bon Pastor,El Bon Pastor,724,9,8,232,376,8019,0,1146,313,0,41.43284,2.2044818
179373643,2,1,False,False,False,FINCAS A.G. NUÑEZ,"Vivienda a reformar, en finca del año 1964 con ascensor.
Se compone de amplio recibidor; salón comedor; 5 dormitorios (3 individuales, 1 mediano y 1 doble); cocina con lavadero; un aseo; un cuarto de baño

Excelente ubicacion cerca de servicios, comercios, colegios, farmacias, y varios medios de transporte.

Contamos con un departamento financiero si necesita asesoría o mejorar las condiciones de su hipoteca. * VALORACIONES GRATUITAS DE SU INMUEBLE *
Impuestos, gastos de escrituración, honorarios de agencia y gastos hipotecarios (si procede) no incluidos en el precio.",1,1,375000,0,0,Carrer de València,08011,False,2023-10-05T18:40:16.827,7,353.0,7,74.0,22,1.0,,,,5,1,88,7,0,0,0,4,7,4,0,Entresuelo,1.0,A reformar,50 a 70 años,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,L'Antiga Esquerra de l'Eixample,L'Antiga Esquerra de l'Eixample,724,9,8,232,376,8019,0,1151,279,0,41.386032,2.1541286
181456386,2,1,False,False,False,Toll Wohnen Barcelona,"
Este amplio piso, aunque actualmente es utilizado como despacho, está legalmente registrado como vivienda. Ubicado en una finca construida en 1958, exclusivamente residencial y equipada con ascensor y videoportero.

Con sus 156m², esta joya se distribuye en 6 habitaciones, con la posibilidad de cuatro de ellas con vistas al exterior. Incluye una cocina independiente con acceso directo al patio-lavadero, 2 baños completos y un aseo.

Este piso es un lienzo en blanco, listo para transformarse según tus necesidades y deseos. Ofrece una amplia versatilidad para reformas y ajustes, gracias a su disposición estructural flexible.

Disfruta de una luminosidad excepcional gracias a su orientación suroeste, y mantente cómodo durante todo el año con sistemas de calefacción y aire acondicionado ya instalados.

¡No dejes pasar esta oportunidad de crear el hogar de tus sueños!

",1,1,550000,0,0,Pl Tetuan,08009,False,2023-12-28T13:45:16.167,7,999.0,7,999.0,17,,,,,6,2,156,7,0,0,0,0,7,7,0,2ª planta,1.0,,50 a 70 años,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,Dreta de l'Eixample,Dreta de l'Eixample,724,9,8,232,376,8019,0,1151,282,0,41.39583,2.1749344
179718055,2,1,False,False,False,PARRAS CARBO ALEXIS,"Excelente vivienda en venta en el centro de Barcelona en 7a planta. - Vivienda en venta en calle Aragón mucho sol y luz natural en todas sus estancias.

Consta de 100m2 distribuidos en 4 habitaciones una individual tres dobles, dos baños, cocina independiente con posibilidad de hacerla americana y gran salón exterior con salida a terraza.

La vivienda no tiene pared estructural y ofrece múltiples posibilidades de reforma. 

La vivienda tiene mucha luz natural y sol toda la tarde, esta vivienda se encuentra al precio de mercado y ofrece muchas posibilidades de distribución.

Finca con parking y servicio de conserjería.

Actualmente se encuentra alquilada aunque se entregaría sin inquilinos.",1,1,455000,10000,0,Carrer D'aragó,08011,False,2023-11-09T22:41:32.607,4,110.0,5,120.0,33,,,,,4,2,110,4,8,0,0,0,0,12,0,7ª planta,1.0,,,,Oeste,,,,,,32,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,España,Cataluña,Barcelona,Barcelonès,"Barcelona, Zona de", Barcelona Capital,,Eixample,L'Antiga Esquerra de l'Eixample,L'Antiga Esquerra de l'Eixample,724,9,8,232,376,8019,0,1151,279,0,41.38757,2.1589465
